Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date,y,Price
42,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,27-07-2024,4250,42.5
86,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,28-07-2024,3750,37.5
8,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,29-07-2024,3750,37.5
68,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,30-07-2024,3750,37.5
89,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,31-07-2024,3750,37.5
48,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,01-08-2024,4250,42.5
41,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,02-08-2024,3750,37.5
19,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,04-08-2024,3750,37.5
79,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,05-08-2024,3750,37.5
15,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,06-08-2024,4250,42.5
81,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4800,4800,07-08-2024,4150,41.5
18,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,08-08-2024,3750,37.5
76,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,09-08-2024,4250,42.5
23,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,10-08-2024,4250,42.5
21,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,5000,5000,11-08-2024,4500,45
3,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,12-08-2024,4250,42.5
20,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4000,4000,13-08-2024,3750,37.5
43,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,14-08-2024,4250,42.5
60,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,15-08-2024,4250,42.5
16,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,5000,5000,16-08-2024,4500,45
27,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,5000,5000,17-08-2024,4500,45
90,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,18-08-2024,4250,42.5
70,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,2200,3500,3500,19-08-2024,2850,28.5
12,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3500,3500,20-08-2024,3250,32.5
11,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3000,3500,3500,21-08-2024,3250,32.5
78,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,4500,4500,22-08-2024,4250,42.5
66,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,3500,4200,4200,23-08-2024,3850,38.5
26,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,5000,5000,24-08-2024,4500,45
37,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,25-08-2024,5500,55
24,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,4000,5000,5000,26-08-2024,4500,45
51,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,27-08-2024,5500,55
39,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Onion,Bellary,Local,5000,6000,6000,28-08-2024,5500,55
