State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Date,NP,Price
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.46,3500,4000,16-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,3500,4000,17-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,4500,18-07-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4500,19-07-2024,4000,40
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,4000,4500,20-07-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.36,4000,4500,21-07-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,4000,5000,22-07-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.41,3500,4000,23-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.43,4000,4500,24-07-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,4000,4500,25-07-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,26-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.42,4000,4500,27-07-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,3500,4000,28-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,29-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,30-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,3500,4000,31-07-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,01-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,3500,4000,02-08-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,3500,4000,04-08-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,3500,4000,05-08-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.5,4000,4500,06-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,3500,4800,07-08-2024,4150,41.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,3500,4000,08-08-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,09-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,10-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,11-08-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,12-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,3500,4000,13-08-2024,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,4500,14-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,4000,4500,15-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,16-08-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,17-08-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,18-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,2200,3500,19-08-2024,2850,28.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,3000,3500,20-08-2024,3250,32.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,3000,3500,21-08-2024,3250,32.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,4500,22-08-2024,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,3500,4200,23-08-2024,3850,38.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,24-08-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,5000,6000,25-08-2024,5500,55
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,26-08-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,5000,6000,27-08-2024,5500,55
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,5000,6000,28-08-2024,5500,55
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,4500,5000,30-08-2024,4750,47.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,31-08-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,01-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,4000,5000,02-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,03-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.36,4000,5000,04-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,05-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,06-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,07-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.45,4000,5000,08-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.4,4000,5000,09-09-2024,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.39,4000,5000,10-09-2024,4500,45
