State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Date,Price
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.16,5500,6000,6000,16-09-2024,57.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.17,5000,5500,5500,15-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,3000,3500,3500,26-07-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,3200,3800,3800,31-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,3800,4500,4500,06-09-2024,41.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,5000,5500,5500,20-09-2024,52.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.18,5500,6000,6000,17-09-2024,57.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.19,3000,4000,4000,15-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.19,3800,4500,4500,18-08-2024,41.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,3500,3500,08-09-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,3500,3500,24-08-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,3500,3500,27-08-2024,32.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,4000,4000,07-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,4000,4000,11-09-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3000,4000,4000,14-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3600,3600,17-08-2024,34
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3600,3600,25-08-2024,34
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,05-09-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,23-07-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,28-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3200,3800,3800,30-08-2024,35
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3400,3800,3800,09-09-2024,36
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3500,4000,4000,26-08-2024,37.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3500,4500,4500,31-07-2024,40
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,3600,4200,4200,11-08-2024,39
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4000,4500,4500,19-08-2024,42.5
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4000,5000,5000,29-07-2024,45
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Bellary,Vegetables,0.2,4200,4800,4800,10-09-2024,45
