Both Price And Arrival for APMC Guduvancheri(Uzhavar Sandhai ) from 14-Sep-2014 To 14-Sep-2024 Total Arrival- 23.78,,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Date,NP,Price
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,2200,3500,19-Aug-24,2850,28.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,3000,3500,21-Aug-24,3250,32.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,4500,5000,30-Aug-24,4750,47.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.3,5000,6000,25-Aug-24,5500,55
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,3000,3500,20-Aug-24,3250,32.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,3500,4200,23-Aug-24,3850,38.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,4500,14-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,06-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,24-Aug-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,26-Aug-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,4000,5000,31-Aug-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.35,5000,6000,27-Aug-24,5500,55
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.36,4000,4500,21-Jul-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.36,4000,5000,04-Sep-24,4500,45
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,3500,4000,08-Aug-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,3500,4000,28-Jul-24,3750,37.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,4000,4500,15-Aug-24,4250,42.5
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ),Bellary,Vegetables,0.38,4000,4500,25-Jul-24,4250,42.5
